ID,probability
TEST_00000,0.05537391886795379
TEST_00001,0.055315510446388924
TEST_00002,0.1274561924484947
TEST_00003,0.09637774573492171
TEST_00004,0.5794737044523129
TEST_00005,0.11019185736244115
TEST_00006,0.45661568845255973
TEST_00007,0.32375128962391453
TEST_00008,0.2090525989297772
TEST_00009,0.05515398961210455
TEST_00010,0.07051169690751073
TEST_00011,0.47394533603027655
TEST_00012,0.3623409612470801
TEST_00013,0.3881390153019677
TEST_00014,0.306654540949921
TEST_00015,0.05524139654507863
TEST_00016,0.16393702403671662
TEST_00017,0.3492746805074922
TEST_00018,0.15299750258893624
TEST_00019,0.7587574215111617
TEST_00020,0.2045106958360265
TEST_00021,0.40842056641823976
TEST_00022,0.24788884650508108
TEST_00023,0.1737622443073709
TEST_00024,0.3702243969029813
TEST_00025,0.05516863348703336
TEST_00026,0.10728220528314095
TEST_00027,0.50474786236104
TEST_00028,0.14173121395032462
TEST_00029,0.14480491592933661
TEST_00030,0.45763866447924917
TEST_00031,0.15563547169458555
TEST_00032,0.13047591433991598
TEST_00033,0.14431763952108193
TEST_00034,0.43062744875975223
TEST_00035,0.05524985402827911
TEST_00036,0.1088701222307262
TEST_00037,0.26509981651572506
TEST_00038,0.2130918626796505
TEST_00039,0.05596306275710367
TEST_00040,0.15723348617489044
TEST_00041,0.11782860594227237
TEST_00042,0.27574069038072185
TEST_00043,0.2894292788239171
TEST_00044,0.29431469584436004
TEST_00045,0.549072111712008
TEST_00046,0.5818719383670923
TEST_00047,0.21599515655357931
TEST_00048,0.10361176579762128
TEST_00049,0.39214332857886486
TEST_00050,0.22108659038155193
TEST_00051,0.14015924902235727
TEST_00052,0.10666275433388224
TEST_00053,0.6473877336406297
TEST_00054,0.055368611580273154
TEST_00055,0.4039855787934161
TEST_00056,0.27585647943794833
TEST_00057,0.17281603080505425
TEST_00058,0.5670817246683464
TEST_00059,0.14748214126917322
TEST_00060,0.05569613637389625
TEST_00061,0.13325209484023706
TEST_00062,0.2738577132950274
TEST_00063,0.30479878507575925
TEST_00064,0.1751985138933388
TEST_00065,0.055695222265517805
TEST_00066,0.21922322145595807
TEST_00067,0.1556778190010098
TEST_00068,0.26264443921835284
TEST_00069,0.49682423574029194
TEST_00070,0.3980467685353412
TEST_00071,0.329561300025036
TEST_00072,0.1767234681328537
TEST_00073,0.2170130771192958
TEST_00074,0.1283162849016966
TEST_00075,0.21552568964030724
TEST_00076,0.060410485704364275
TEST_00077,0.055215820515664545
TEST_00078,0.10666518231617605
TEST_00079,0.16274630530865805
TEST_00080,0.3527330836594136
TEST_00081,0.0551270011195402
TEST_00082,0.17463751265821267
