ID,probability
TEST_00000,0.001266062702511167
TEST_00001,0.0010432158294544276
TEST_00002,0.1522195771259813
TEST_00003,0.10048082377367919
TEST_00004,0.5219234185324446
TEST_00005,0.12513601742216152
TEST_00006,0.44215370759266787
TEST_00007,0.34999228833813456
TEST_00008,0.24891917397858462
TEST_00009,0.0007178312942118873
TEST_00010,0.04378669937296076
TEST_00011,0.44964950611430593
TEST_00012,0.3744140740799547
TEST_00013,0.39082732431900785
TEST_00014,0.33445719284418157
TEST_00015,0.0009975696331143878
TEST_00016,0.19868613056774928
TEST_00017,0.3610834255137446
TEST_00018,0.179685754162603
TEST_00019,0.6543743424481884
TEST_00020,0.24510146235159935
TEST_00021,0.40776880043674585
TEST_00022,0.28408264416957624
TEST_00023,0.20942563427103927
TEST_00024,0.38473192336782086
TEST_00025,0.0007516789637691865
TEST_00026,0.12075536733357267
TEST_00027,0.47029889659572777
TEST_00028,0.1728653064728216
TEST_00029,0.1775784498809763
TEST_00030,0.4340961767575595
TEST_00031,0.19012400382774394
TEST_00032,0.15577009082944065
TEST_00033,0.17674617423675995
TEST_00034,0.42029548690238216
TEST_00035,0.0010316430925386652
TEST_00036,0.11932368724939257
TEST_00037,0.30184340539261206
TEST_00038,0.25663636736140744
TEST_00039,0.003165624504253905
TEST_00040,0.19030055938820373
TEST_00041,0.12891502514401412
TEST_00042,0.31235115396755275
TEST_00043,0.3145755992156607
TEST_00044,0.32269568410609156
TEST_00045,0.49478609526273254
TEST_00046,0.5204917300472338
TEST_00047,0.25200463153071356
TEST_00048,0.11520122707482307
TEST_00049,0.39371185740617
TEST_00050,0.26137755794624823
TEST_00051,0.16375481434583075
TEST_00052,0.11899977216493228
TEST_00053,0.5679333306477964
TEST_00054,0.001363672169393319
TEST_00055,0.40426370650859556
TEST_00056,0.31439469408603027
TEST_00057,0.20940142793854688
TEST_00058,0.5179731041221306
TEST_00059,0.1810103394304419
TEST_00060,0.0024669251187994807
TEST_00061,0.16114540366563318
TEST_00062,0.3089562923100764
TEST_00063,0.33281943258086827
TEST_00064,0.2118489631072143
TEST_00065,0.0010531422761245726
TEST_00066,0.25924806448574067
TEST_00067,0.1916775102589642
TEST_00068,0.29946684869492957
TEST_00069,0.46645383668045726
