ID,probability
TEST_00000,0.07078521214172422
TEST_00001,0.04246895113721401
TEST_00002,0.18366134935746525
TEST_00003,0.1274018785495267
TEST_00004,0.34808185088251276
TEST_00005,0.15439191057808985
TEST_00006,0.39120998259235545
TEST_00007,0.4109349435089924
TEST_00008,0.3947594848438429
TEST_00009,0.02213934081606507
TEST_00010,0.12852579378130594
TEST_00011,0.3981300592090738
TEST_00012,0.3842321064976666
TEST_00013,0.41699517612344794
TEST_00014,0.341756613482514
TEST_00015,0.032948925688322576
TEST_00016,0.3002514908910668
TEST_00017,0.3825507136249137
TEST_00018,0.24409629145231432
TEST_00019,0.44273674612479974
TEST_00020,0.34241420614785284
TEST_00021,0.3609266799721039
TEST_00022,0.2783639970248796
TEST_00023,0.25128012984692727
TEST_00024,0.378332177667919
TEST_00025,0.031529614998756256
TEST_00026,0.1357432862474849
TEST_00027,0.42295261984062155
TEST_00028,0.23977754940354762
TEST_00029,0.22173595806617533
TEST_00030,0.3606598820287273
TEST_00031,0.20490052596900835
TEST_00032,0.2690234487333446
TEST_00033,0.22550052827519607
TEST_00034,0.35529801423198826
TEST_00035,0.05326406800066513
TEST_00036,0.2104294269397105
TEST_00037,0.3861080353724956
TEST_00038,0.3413446938336987
TEST_00039,0.028006182739707328
TEST_00040,0.28768530868446673
TEST_00041,0.20000836256604437
TEST_00042,0.3463963788744429
TEST_00043,0.26914219868494743
TEST_00044,0.34249880040627817
TEST_00045,0.34715275442182103
TEST_00046,0.3703926131798727
TEST_00047,0.3214927495075553
TEST_00048,0.2718401735481147
TEST_00049,0.37479735980360507
TEST_00050,0.23394284029750623
TEST_00051,0.17678559286343273
TEST_00052,0.20400849779355995
TEST_00053,0.3511599734180007
TEST_00054,0.04642596933841096
TEST_00055,0.38329166338330134
TEST_00056,0.23640366360357115
TEST_00057,0.18759143417050422
TEST_00058,0.2798601880146486
TEST_00059,0.3703008066666099
TEST_00060,0.04636591547308216
TEST_00061,0.21164528935862315
TEST_00062,0.330714186321527
TEST_00063,0.3602338968176924
TEST_00064,0.19761963631917426
TEST_00065,0.01098704051906993
TEST_00066,0.24781916584865088
TEST_00067,0.2594236182043797
TEST_00068,0.2057346448153337
TEST_00069,0.3894853787801888
TEST_00070,0.40458659754191617
TEST_00071,0.2949943381823346
TEST_00072,0.19607648971771716
TEST_00073,0.3060752359220801
TEST_00074,0.20852550405343903
TEST_00075,0.23038673467506446
TEST_00076,0.039707999761867986
TEST_00077,0.01804855970877874
TEST_00078,0.1715303430205239
TEST_00079,0.16834432840948668
TEST_00080,0.2858418197414631
TEST_00081,0.028181430720069837
TEST_00082,0.24644997853151346
TEST_00083,0.23789997962980491
TEST_00084,0.37242340544406355
TEST_00085,0.24515577649070072
TEST_00086,0.014665198112065453
TEST_00087,0.2829346972460288
TEST_00088,0.1247330831388088
TEST_00089,0.39294365285932953
TEST_00090,0.2850433803469607
TEST_00091,0.17036680942694354
TEST_00092,0.37107518203443524
TEST_00093,0.33535908882765625
TEST_00094,0.012393611748762861
TEST_00095,0.0391087764431135
TEST_00096,0.3759025754949235
TEST_00097,0.1188964525070464
TEST_00098,0.308182927729181
TEST_00099,0.24101749977661463
TEST_00100,0.13447845598822306
TEST_00101,0.2205359413952368
TEST_00102,0.2604791827827742
TEST_00103,0.28679715132380096
TEST_00104,0.39526623415943535
TEST_00105,0.39125563303065064
TEST_00106,0.22633542035237617
TEST_00107,0.037184492925895256
TEST_00108,0.3343160713996802
TEST_00109,0.059810668874369616
TEST_00110,0.3664272812516732
TEST_00111,0.23261051227599872
TEST_00112,0.09418430935748627
TEST_00113,0.38474964772512743
TEST_00114,0.16764248684266708
TEST_00115,0.3404460005129094
TEST_00116,0.04235309859910163
TEST_00117,0.39801078927786676
TEST_00118,0.40048765760262567
TEST_00119,0.1686503702683311
TEST_00120,0.028587418228628925
TEST_00121,0.059575448373624405
TEST_00122,0.25094799228636977
TEST_00123,0.3847642329260537
TEST_00124,0.3944378875135201
TEST_00125,0.232907089116489
TEST_00126,0.04123505972670095
TEST_00127,0.19493906926563442
TEST_00128,0.28154688290292085
TEST_00129,0.3513791383208237
TEST_00130,0.212788250217614
TEST_00131,0.39365341877582233
TEST_00132,0.05112964411287259
