ID,probability
TEST_00000,0.0012491617155110186
TEST_00001,0.0010393930835249636
TEST_00002,0.1497466278921015
TEST_00003,0.10048540722521669
TEST_00004,0.5220189621139413
TEST_00005,0.12514317883578127
TEST_00006,0.441978421508391
TEST_00007,0.3438087915665989
TEST_00008,0.24857342310274813
TEST_00009,0.0007041752570274834
TEST_00010,0.04395897252008357
TEST_00011,0.4433493841921554
TEST_00012,0.3757577782098651
TEST_00013,0.38989201822580893
TEST_00014,0.33450234951921426
TEST_00015,0.0010090317115839945
TEST_00016,0.19694245334206315
TEST_00017,0.3650787541737776
TEST_00018,0.18055370726770342
TEST_00019,0.6563788220517894
TEST_00020,0.24460890137474478
TEST_00021,0.4080397686335197
TEST_00022,0.28373515158693213
TEST_00023,0.2099714396834004
TEST_00024,0.3842669707720492
TEST_00025,0.0007440152601071488
TEST_00026,0.12165132786698818
TEST_00027,0.4739274180404294
TEST_00028,0.17073630249731278
TEST_00029,0.17881302564971802
TEST_00030,0.43537554822983493
TEST_00031,0.18982289993160828
TEST_00032,0.15664973782332908
TEST_00033,0.17622379195127763
TEST_00034,0.4212847800732617
TEST_00035,0.001019737643671344
TEST_00036,0.11727744578822934
TEST_00037,0.29817610644200654
TEST_00038,0.2554642769701388
TEST_00039,0.0031031653895541556
TEST_00040,0.19027002836359366
TEST_00041,0.1279011274093474
TEST_00042,0.3130539104293027
TEST_00043,0.3165045133879859
TEST_00044,0.3232689287594395
TEST_00045,0.4958838135895917
TEST_00046,0.521685951903192
TEST_00047,0.25243875244012015
TEST_00048,0.11544136658414765
TEST_00049,0.3935358791711041
TEST_00050,0.26069069871491324
TEST_00051,0.16691357602646573
TEST_00052,0.11743120424803521
TEST_00053,0.5689308885557448
TEST_00054,0.0013668056043747562
TEST_00055,0.40461796903712893
TEST_00056,0.31578368592587774
TEST_00057,0.20871262819263256
TEST_00058,0.518422843602032
TEST_00059,0.18071841758555293
TEST_00060,0.0024040052093191175
TEST_00061,0.16074091963437734
TEST_00062,0.30821857179175477
TEST_00063,0.3318008853877883
TEST_00064,0.21286907319599307
TEST_00065,0.0010378831351707128
TEST_00066,0.25793348437542374
TEST_00067,0.19053463572164062
TEST_00068,0.29991626641160285
TEST_00069,0.46592608835755117
TEST_00070,0.3991733926561789
TEST_00071,0.35527270501156005
TEST_00072,0.21644205187225615
TEST_00073,0.25747694070623756
TEST_00074,0.15572585448847195
TEST_00075,0.24972065529227278
TEST_00076,0.016425307610533582
TEST_00077,0.000855807539740214
TEST_00078,0.1189665862636882
TEST_00079,0.19946956415986952
TEST_00080,0.3688453906275295
TEST_00081,0.0006186130856288602
TEST_00082,0.21376097271664632
TEST_00083,0.18861020769539635
TEST_00084,0.4573390530260176
TEST_00085,0.4014557184061901
TEST_00086,0.0007232065731563263
TEST_00087,0.3807973271863917
TEST_00088,0.11979091259503725
TEST_00089,0.38243162423845783
TEST_00090,0.25952427495850333
TEST_00091,0.0899025636459545
TEST_00092,0.30892572293004633
TEST_00093,0.5499248007335331
TEST_00094,0.0005944933122877882
TEST_00095,0.0006421777444465665
TEST_00096,0.4265048776607316
TEST_00097,0.10236117234417877
TEST_00098,0.3799467143218939
TEST_00099,0.28707453950180223
TEST_00100,0.08266225058080907
TEST_00101,0.2106339177685683
TEST_00102,0.3304791109257564
TEST_00103,0.2706549091220416
TEST_00104,0.3478965506974152
TEST_00105,0.4791358186048675
TEST_00106,0.2901986765409239
TEST_00107,0.0011293536437845674
TEST_00108,0.3224808537815627
TEST_00109,0.0010428167012035104
TEST_00110,0.44387655478416443
TEST_00111,0.3668239028453357
TEST_00112,0.014217421024848938
TEST_00113,0.3429124456412685
TEST_00114,0.2016700340321131
TEST_00115,0.41027007466992965
TEST_00116,0.002064200453619348
TEST_00117,0.45201936859961966
TEST_00118,0.3418544957249266
TEST_00119,0.1671483648105737
TEST_00120,0.0010815866958095856
TEST_00121,0.0012295844390393898
TEST_00122,0.3062998355876519
TEST_00123,0.5274109967651921
TEST_00124,0.4260793666356304
TEST_00125,0.2877328669965032
TEST_00126,0.0025278329121021723
TEST_00127,0.05282720202329181
TEST_00128,0.261800219415397
TEST_00129,0.4379120016786465
TEST_00130,0.20808809356117616
TEST_00131,0.40782996047219955
TEST_00132,0.0011285128265754874
TEST_00133,0.25219231493550287
TEST_00134,0.37162604713927316
TEST_00135,0.0012502269263615785
TEST_00136,0.17504684040116744
TEST_00137,0.2220434835263977
TEST_00138,0.06936913126599194
TEST_00139,0.23200513149862614
TEST_00140,0.01471244124948114
TEST_00141,0.0010926855375596653
TEST_00142,0.30923708468305905
TEST_00143,0.001233338448083309
TEST_00144,0.1258125039341279
TEST_00145,0.4837279037296134
TEST_00146,0.1702516048200702
TEST_00147,0.2258742651212778
TEST_00148,0.27179409570980173
TEST_00149,0.4364394593259868
TEST_00150,0.001328682307425076
TEST_00151,0.0009045737865715089
TEST_00152,0.4159939971931051
TEST_00153,0.27912363689434433
TEST_00154,0.02274825352473088
TEST_00155,0.2550343892818074
TEST_00156,0.3491491515052791
TEST_00157,0.3734441355031449
TEST_00158,0.42603912853221326
TEST_00159,0.33146842963731193
TEST_00160,0.45046027493157315
